,id,payload_len,num_authors,num_topics,action,gas,time
0,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,assingID,255373,0.7525756359100342
1,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,addSearchTerm,309307,1.972862720489502
2,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,addSearchTerm,287822,1.9828486442565918
3,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,addSearchTerm,300262,1.979661464691162
4,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,addSearchTerm,358154,2.0848548412323
5,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,addSearchTerm,302505,1.9781932830810547
6,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,addExternalLink,302505,1.973196029663086
7,FAPESP-1_fb3a6da8702f30ea84b7e12b026aa473,296,1,5,setPayload,302505,1.9694819450378418
8,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,assingID,255373,2.079432487487793
9,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,addSearchTerm,294230,1.9811749458312988
10,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,addSearchTerm,281085,1.9758267402648926
11,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,addSearchTerm,285034,1.970245122909546
12,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,addSearchTerm,284427,1.9849655628204346
13,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,addSearchTerm,286328,2.079145908355713
14,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,addExternalLink,286328,1.9763541221618652
15,FAPESP-1_26d97f32dfcc14bfce376a7948b79d6b,248,1,5,setPayload,286328,1.977391004562378
16,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,assingID,255373,1.9735302925109863
17,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,addSearchTerm,300508,1.9753623008728027
18,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,addSearchTerm,287362,2.0825796127319336
19,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,addSearchTerm,285185,1.9793848991394043
20,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,addSearchTerm,287726,1.9747445583343506
21,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,addExternalLink,287726,1.9703927040100098
22,FAPESP-1_b8d3994789385f5454a01ac2a5241c74,256,1,4,setPayload,287726,2.0752036571502686
23,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,assingID,255373,1.9701075553894043
24,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addSearchTerm,304586,1.9732494354248047
25,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addSearchTerm,286263,2.0791497230529785
26,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addSearchTerm,287704,1.9779140949249268
27,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addSearchTerm,288825,1.9827320575714111
28,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addSearchTerm,211812,1.9756481647491455
29,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addSearchTerm,204457,1.9777438640594482
30,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,addExternalLink,204457,2.081005334854126
31,FAPESP-1_c9648ba03e8cd273821ba7df3b26d816,257,1,6,setPayload,204457,1.9721004962921143
32,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,assingID,255373,1.9732308387756348
33,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,addSearchTerm,308348,1.9667816162109375
34,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,addSearchTerm,295842,2.0749547481536865
35,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,addSearchTerm,294764,1.9721405506134033
36,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,addSearchTerm,298405,1.9711978435516357
37,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,addSearchTerm,296224,1.970069408416748
38,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,addExternalLink,296224,2.071946382522583
39,FAPESP-1_7e4583e446cc6f025ce10b20429139f2,305,1,5,setPayload,296224,1.9748179912567139
40,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,assingID,253310,1.9665813446044922
41,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,addSearchTerm,300508,2.0810623168945312
42,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,addSearchTerm,287362,1.9736199378967285
43,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,addSearchTerm,197794,1.9640603065490723
44,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,addSearchTerm,291024,2.0701608657836914
45,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,addExternalLink,291024,1.9605839252471924
46,FAPESP-1_a21e984f4d9a3f94d209844bb1f582af,237,1,4,setPayload,291024,1.9628186225891113
47,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,assingID,255373,2.069413900375366
48,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,addSearchTerm,293910,1.9634144306182861
49,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,addSearchTerm,286263,1.9647903442382812
50,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,addSearchTerm,284405,2.0689003467559814
51,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,addSearchTerm,300284,1.9628102779388428
52,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,addSearchTerm,293695,1.9675800800323486
53,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,addExternalLink,293695,2.0674779415130615
54,FAPESP-1_751983f0028662f1ba9b2fcd55533a68,236,1,5,setPayload,293695,1.9686472415924072
55,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,assingID,255373,1.9716427326202393
56,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,299408,2.073047161102295
57,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,288462,1.9697239398956299
58,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,282986,1.9618217945098877
59,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,288505,2.0767481327056885
60,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,284129,1.9650075435638428
61,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,204457,1.9625980854034424
62,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addSearchTerm,307717,1.9690206050872803
63,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,addExternalLink,307717,2.0642318725585938
64,FAPESP-1_58dc636201003e08fb4053002cb35cb9,230,1,7,setPayload,307717,1.9657132625579834
65,FAPESP-1_d392f7196f4275b52a21cb9b1b9f26ed,229,1,3,assingID,253416,1.9623258113861084
66,FAPESP-1_d392f7196f4275b52a21cb9b1b9f26ed,229,1,3,addSearchTerm,304586,2.0642142295837402
67,FAPESP-1_d392f7196f4275b52a21cb9b1b9f26ed,229,1,3,addSearchTerm,281085,1.965639591217041
68,FAPESP-1_d392f7196f4275b52a21cb9b1b9f26ed,229,1,3,addSearchTerm,280787,2.0653555393218994
69,FAPESP-1_d392f7196f4275b52a21cb9b1b9f26ed,229,1,3,addExternalLink,280787,1.9592974185943604
70,FAPESP-1_d392f7196f4275b52a21cb9b1b9f26ed,229,1,3,setPayload,280787,1.9606871604919434
71,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,assingID,253310,2.062498092651367
72,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addSearchTerm,376762,1.9670963287353516
73,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addSearchTerm,350504,1.9627079963684082
74,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addSearchTerm,370660,2.065425395965576
75,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addSearchTerm,305771,1.964921236038208
76,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addSearchTerm,304704,1.9623098373413086
77,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addSearchTerm,308494,2.070542812347412
78,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,addExternalLink,308494,1.9616081714630127
79,FAPESP-1_9187f401567494424caea038a1dd005f,284,1,6,setPayload,308494,2.0665793418884277
80,FAPESP-1_dcfd1697f51fa72081e0451c6e1d0ed2,294,1,3,assingID,253310,1.9648618698120117
81,FAPESP-1_dcfd1697f51fa72081e0451c6e1d0ed2,294,1,3,addSearchTerm,312286,1.9657161235809326
82,FAPESP-1_dcfd1697f51fa72081e0451c6e1d0ed2,294,1,3,addSearchTerm,291764,2.0740137100219727
83,FAPESP-1_dcfd1697f51fa72081e0451c6e1d0ed2,294,1,3,addSearchTerm,299163,1.9630131721496582
84,FAPESP-1_dcfd1697f51fa72081e0451c6e1d0ed2,294,1,3,addExternalLink,299163,1.962308645248413
85,FAPESP-1_dcfd1697f51fa72081e0451c6e1d0ed2,294,1,3,setPayload,299163,1.9670562744140625
86,FAPESP-1_59ca08a714f60e162ecfc1864a386680,277,1,0,assingID,251247,2.0670320987701416
87,FAPESP-1_59ca08a714f60e162ecfc1864a386680,277,1,0,addExternalLink,251247,1.9666693210601807
88,FAPESP-1_59ca08a714f60e162ecfc1864a386680,277,1,0,setPayload,251247,1.963320255279541
89,FAPESP-1_815dc4399dc2d4badabcad097b71d5d2,305,1,3,assingID,253310,2.0661628246307373
90,FAPESP-1_815dc4399dc2d4badabcad097b71d5d2,305,1,3,addSearchTerm,299396,1.9692668914794922
91,FAPESP-1_815dc4399dc2d4badabcad097b71d5d2,305,1,3,addSearchTerm,281852,2.0665411949157715
92,FAPESP-1_815dc4399dc2d4badabcad097b71d5d2,305,1,3,addSearchTerm,289251,1.9681005477905273
93,FAPESP-1_815dc4399dc2d4badabcad097b71d5d2,305,1,3,addExternalLink,289251,1.960646629333496
94,FAPESP-1_815dc4399dc2d4badabcad097b71d5d2,305,1,3,setPayload,289251,2.065160036087036
95,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,assingID,253310,1.9694221019744873
96,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,addSearchTerm,304259,1.961881160736084
97,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,addSearchTerm,286263,2.071302890777588
98,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,addSearchTerm,287704,1.9638020992279053
99,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,addSearchTerm,206932,1.9679880142211914
100,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,addSearchTerm,303604,2.07669997215271
101,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,addExternalLink,303604,1.9616968631744385
102,FAPESP-1_27e78c9bc07a551bdca7a9cafc013e75,277,1,5,setPayload,303604,1.9719290733337402
103,FAPESP-1_e296321520fb2e1a89f9dc68bb79b1a7,274,1,5,assingID,253310,1.9764037132263184
104,FAPESP-1_e296321520fb2e1a89f9dc68bb79b1a7,274,1,5,addSearchTerm,299408,2.0827713012695312
105,FAPESP-1_e296321520fb2e1a89f9dc68bb79b1a7,274,1,5,addSearchTerm,287362,1.980808973312378
106,FAPESP-1_e296321520fb2e1a89f9dc68bb79b1a7,274,1,5,addSearchTerm,285185,1.9703924655914307
107,FAPESP-1_e296321520fb2e1a89f9dc68bb79b1a7,274,1,5,addSearchTerm,288646,1.973806381225586
108,FAPESP-1_e296321520fb2e1a89f9dc68bb79b1a7,274,1,5,addSearchTerm,290726,1.9844164848327637
