,id,payload_len,num_authors,num_topics,action,gas,time
0,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,assingID,255373,0.7595992088317871
1,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addSearchTerm,314153,2.005748987197876
2,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addSearchTerm,286570,1.9969756603240967
3,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addSearchTerm,305114,2.009323835372925
4,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addSearchTerm,285514,1.9921371936798096
5,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addSearchTerm,284436,1.997361421585083
6,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addSearchTerm,289957,1.994800090789795
7,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,addExternalLink,289957,2.0087225437164307
8,SBFPO-1_b90b1421fcb5216c2c8caa296d3098c5,194,1,6,setPayload,289957,2.0028085708618164
9,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,assingID,255373,2.0006778240203857
10,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,addSearchTerm,302387,1.9984996318817139
11,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,addSearchTerm,293323,1.9900479316711426
12,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,addSearchTerm,288484,1.9821841716766357
13,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,addSearchTerm,285526,1.96272611618042
14,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,addSearchTerm,288847,2.0638985633850098
15,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,addExternalLink,288847,1.9609310626983643
16,SBFPO-1_72d91ada41db6d0a6cb8df7b11d79fb9,207,1,5,setPayload,288847,2.0613865852355957
17,SBFPO-1_ed3f0f88eab971d2f6c44995fe01f28b,287,1,3,assingID,253310,1.9589531421661377
18,SBFPO-1_ed3f0f88eab971d2f6c44995fe01f28b,287,1,3,addSearchTerm,311507,1.9625368118286133
19,SBFPO-1_ed3f0f88eab971d2f6c44995fe01f28b,287,1,3,addSearchTerm,202490,2.0705158710479736
20,SBFPO-1_ed3f0f88eab971d2f6c44995fe01f28b,287,1,3,addSearchTerm,300262,1.9774985313415527
21,SBFPO-1_ed3f0f88eab971d2f6c44995fe01f28b,287,1,3,addExternalLink,300262,1.9788234233856201
22,SBFPO-1_ed3f0f88eab971d2f6c44995fe01f28b,287,1,3,setPayload,300262,1.9693808555603027
23,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,assingID,255373,2.064683437347412
24,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,addSearchTerm,314446,1.9630954265594482
25,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,addSearchTerm,282184,1.9682767391204834
26,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,addSearchTerm,298063,2.066758632659912
27,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,addSearchTerm,286626,1.9630048274993896
28,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,addExternalLink,286626,2.062145471572876
29,SBFPO-1_9ca4e776ae4dc021c3a943c47c27c49d,221,1,4,setPayload,286626,1.9579436779022217
